iter	RMSE
0	10.56911647
1	10.52227943
2	10.47564994
3	10.4292271
4	10.38300998
5	10.33699767
6	10.29118926
7	10.24344681
8	10.19805297
9	10.15742506
10	10.11241243
11	10.06440448
12	10.02243452
13	9.978020097
14	9.93412444
15	9.885663292
16	9.841854974
17	9.80926486
18	9.762670318
19	9.719407044
20	9.679092861
21	9.63722631
22	9.594518941
23	9.549000241
24	9.503294593
25	9.461961693
26	9.420817235
27	9.379068882
28	9.33346607
29	9.292104814
30	9.249196525
31	9.206787948
32	9.165988067
33	9.12536899
34	9.084929916
35	9.045712773
36	9.00388714
37	8.963986414
38	8.924262507
39	8.887009015
40	8.848377053
41	8.809165469
42	8.768732864
43	8.727284123
44	8.688609162
45	8.647252403
46	8.609904082
47	8.571749291
48	8.533763583
49	8.493462868
50	8.454766336
51	8.416095998
52	8.379775099
53	8.343384985
54	8.306411274
55	8.269601412
56	8.232954672
57	8.196920205
58	8.158302559
59	8.121004705
60	8.08377407
61	8.0472822
62	8.011620668
63	7.975003753
64	7.937619535
65	7.902443973
66	7.867983255
67	7.833116286
68	7.799344441
69	7.764781645
70	7.731314521
71	7.696081402
72	7.661064538
73	7.627114529
74	7.59232981
75	7.5586844
76	7.522099257
77	7.489697576
78	7.45650698
79	7.423463469
80	7.38756328
81	7.355464215
82	7.322868474
83	7.29133068
84	7.256099899
85	7.223944492
86	7.191931581
87	7.158359145
88	7.126636875
89	7.095055183
90	7.063613446
91	7.033192775
92	7.00202518
93	6.970995705
94	6.940103737
95	6.908623291
96	6.878007726
97	6.847527834
98	6.817183014
99	6.782737347
100	6.752679646
101	6.722755145
102	6.692963255
103	6.660674324
104	6.631157545
105	6.601758216
106	6.571928622
107	6.541437165
108	6.511701013
109	6.482844409
110	6.454115684
111	6.426342623
112	6.397864285
113	6.367043272
114	6.33964463
115	6.311550494
116	6.2811712
117	6.254141728
118	6.226426498
119	6.198391543
120	6.17092337
121	6.142891813
122	6.115669587
123	6.088567997
124	6.061586507
125	6.034724586
126	6.007315697
127	5.981209319
128	5.952963745
129	5.926583186
130	5.901092531
131	5.875719164
132	5.849680914
133	5.823758053
134	5.796821278
135	5.771132664
136	5.745557889
137	5.720096449
138	5.694747841
139	5.668894796
140	5.643773088
141	5.618762707
142	5.59386316
143	5.569073955
144	5.544394603
145	5.519824618
146	5.495879265
147	5.471524275
148	5.447277215
149	5.423137605
150	5.399104971
151	5.374901496
152	5.35108262
153	5.327369297
154	5.304484087
