iter	Passed	Remaining
0	0	280
1	0	207
2	0	174
3	0	157
4	0	145
5	0	137
6	0	134
7	1	127
8	1	123
9	1	120
10	1	118
11	1	115
12	1	112
13	1	112
14	1	109
15	1	109
16	1	108
17	1	104
18	2	103
19	2	103
20	2	101
21	2	101
22	2	100
23	2	100
24	2	99
25	2	99
26	2	99
27	2	98
28	2	97
29	3	97
30	3	95
31	3	95
32	3	96
33	3	97
34	3	97
35	3	99
36	3	98
37	3	99
38	4	101
39	4	100
40	4	100
41	4	100
42	4	98
43	4	98
44	4	98
45	4	97
46	4	97
47	4	97
48	5	98
49	5	97
50	5	96
51	5	96
52	5	95
53	5	95
54	5	95
55	5	96
56	5	96
57	5	96
58	6	96
59	6	95
60	6	95
61	6	94
62	6	94
63	6	93
64	6	93
65	6	93
66	6	93
67	6	93
68	6	93
69	7	93
70	7	92
71	7	92
72	7	91
73	7	91
74	7	91
75	7	91
76	7	91
77	7	91
78	7	91
79	7	91
80	8	91
81	8	91
82	8	91
83	8	91
84	8	91
85	8	91
86	8	91
87	8	91
88	8	91
89	9	91
90	9	92
91	9	92
92	9	92
93	9	92
94	9	92
95	9	91
96	9	92
97	9	91
98	10	91
99	10	91
100	10	91
101	10	91
102	10	91
103	10	91
104	10	91
105	10	90
106	10	90
107	10	90
108	10	89
109	11	89
110	11	89
111	11	89
112	11	89
113	11	89
114	11	89
115	11	89
116	11	89
117	11	88
118	11	88
119	12	88
120	12	88
121	12	88
122	12	88
123	12	88
124	12	88
125	12	88
126	12	88
127	12	87
128	12	87
129	13	87
130	13	87
131	13	87
132	13	87
133	13	87
134	13	86
135	13	86
136	14	88
137	14	88
138	14	89
139	14	90
140	14	91
141	15	91
142	15	91
143	15	92
144	15	92
145	15	92
146	15	91
147	15	91
148	16	91
149	16	91
150	16	91
151	16	90
152	16	90
153	16	90
154	16	90
155	16	90
156	16	90
157	16	90
158	17	90
159	17	89
160	17	89
161	17	90
162	17	90
163	17	90
164	17	90
165	17	90
166	18	89
167	18	89
168	18	89
169	18	89
170	18	89
171	18	89
172	18	89
173	18	89
174	18	89
175	19	89
176	19	89
177	19	88
178	19	88
179	19	88
180	19	88
181	19	88
182	19	88
183	19	88
184	19	87
185	20	87
186	20	87
187	20	87
188	20	87
189	20	87
190	20	87
191	20	86
192	20	86
193	20	86
194	20	86
195	21	86
196	21	86
197	21	86
198	21	86
199	21	85
200	21	85
201	21	85
202	21	85
203	21	85
204	21	85
205	22	85
206	22	85
207	22	85
208	22	84
209	22	84
210	22	84
211	22	84
212	22	84
213	23	84
214	23	84
215	23	84
